Index,Prediction,Actual,Explanation
286,Denied,Denied,"This application was denied due to Income, YearsEmployed, ZipCode, Debt, CreditScore, BankCustomer."
511,Approved,Approved,"This application was approved due to Income, Industry, Debt, Citizen, Ethnicity, BankCustomer."
257,Denied,Denied,"This application was denied due to ZipCode, Employed, YearsEmployed, CreditScore, Debt, BankCustomer, Married, PriorDefault."
336,Denied,Denied,"This application was denied due to Income, YearsEmployed, Employed, CreditScore, Industry, Age, PriorDefault, Married."
318,Denied,Approved,"This application was denied due to Income, YearsEmployed, Employed, CreditScore, Industry, Debt, Citizen, ZipCode, Ethnicity, Married."
211,Approved,Approved,"This application was approved due to Income, YearsEmployed, Industry, Debt, Age, Ethnicity, Married."
624,Denied,Denied,"This application was denied due to ZipCode, Employed, YearsEmployed, CreditScore, Debt, BankCustomer, Industry."
176,Approved,Approved,"This application was approved due to YearsEmployed, ZipCode, Income, Debt, Age, Ethnicity, Married, BankCustomer."
462,Denied,Denied,"This application was denied due to YearsEmployed, Employed, CreditScore, Debt, ZipCode, Industry, PriorDefault, Age."
256,Denied,Denied,"This application was denied due to Employed, CreditScore, ZipCode, Industry, Married."
662,Denied,Denied,"This application was denied due to ZipCode, YearsEmployed, Employed, CreditScore, Debt, PriorDefault, BankCustomer."
165,Approved,Approved,"This application was approved due to Income, ZipCode, YearsEmployed, Industry, Debt, Citizen, PriorDefault, BankCustomer."
621,Denied,Approved,"This application was denied due to Employed, CreditScore, Debt, Citizen, Industry, Age."
78,Denied,Denied,"This application was denied due to Income, ZipCode, Debt, CreditScore, Industry, PriorDefault, BankCustomer."
676,Denied,Denied,"This application was denied due to Income, YearsEmployed, Age, Ethnicity, ZipCode, Married, BankCustomer, PriorDefault."
497,Approved,Approved,"This application was approved due to ZipCode, CreditScore, YearsEmployed, Employed, Debt, Citizen, Ethnicity, Age."
681,Denied,Denied,"This application was denied due to Employed, ZipCode, CreditScore, Debt, Ethnicity, BankCustomer, Married."
294,Denied,Denied,"This application was denied due to Income, YearsEmployed, ZipCode, CreditScore, Debt, BankCustomer, Married."
645,Denied,Denied,"This application was denied due to YearsEmployed, Employed, CreditScore, Debt, Age, PriorDefault."
396,Denied,Denied,"This application was denied due to Income, YearsEmployed, Employed, CreditScore, Debt, Age, ZipCode, PriorDefault, Ethnicity, Married."
355,Denied,Denied,"This application was denied due to Income, YearsEmployed, Debt, CreditScore, Industry, ZipCode, PriorDefault, BankCustomer, Age."
334,Denied,Denied,"This application was denied due to Employed, CreditScore, YearsEmployed, Debt, Age, ZipCode, Ethnicity, Married, BankCustomer."
289,Denied,Denied,"This application was denied due to YearsEmployed, ZipCode, Employed, CreditScore, Debt, BankCustomer, Married."
572,Approved,Approved,"This application was approved due to Employed, Industry, Citizen, Ethnicity, Married, PriorDefault."
281,Denied,Denied,"This application was denied due to Income, YearsEmployed, ZipCode, Employed, CreditScore, Debt, Ethnicity, Married, PriorDefault."
327,Denied,Denied,"This application was denied due to Employed, YearsEmployed, CreditScore, Industry, Citizen, ZipCode, Ethnicity, Age, BankCustomer, Married."
250,Approved,Approved,"This application was approved due to Income, YearsEmployed, CreditScore, ZipCode, Employed, Citizen, Debt, Ethnicity, Age."
54,Approved,Approved,"This application was approved due to ZipCode, YearsEmployed, Income, Debt, Citizen, Industry, BankCustomer."
652,Denied,Denied,"This application was denied due to ZipCode, YearsEmployed, Employed, CreditScore, Citizen, Debt, Industry, Age, BankCustomer."
335,Denied,Denied,"This application was denied due to Income, YearsEmployed, ZipCode, Employed, CreditScore, Debt, Ethnicity, PriorDefault, BankCustomer."
133,Approved,Approved,"This application was approved due to Income, ZipCode, CreditScore, YearsEmployed, Employed, Debt, Citizen, Married, PriorDefault."
500,Approved,Approved,"This application was approved due to Income, YearsEmployed, CreditScore, Employed, Industry, Citizen, Debt, Age, Ethnicity, Married, PriorDefault."
136,Approved,Approved,"This application was approved due to Income, CreditScore, Employed, Citizen, Ethnicity, PriorDefault."
109,Approved,Denied,"This application was approved due to CreditScore, Employed, Citizen, Ethnicity, BankCustomer, Married, Age."
594,Approved,Approved,"This application was approved due to Income, Citizen, Ethnicity, BankCustomer, PriorDefault."
235,Approved,Approved,"This application was approved due to Income, YearsEmployed, CreditScore, Employed, Industry, Citizen, PriorDefault, Ethnicity, BankCustomer."
212,Approved,Approved,"This application was approved due to Income, ZipCode, CreditScore, YearsEmployed, Employed, Citizen, Debt, Ethnicity, BankCustomer, PriorDefault, Industry."
537,Approved,Denied,"This application was approved due to YearsEmployed, Income, Industry, Citizen, Debt, Married."
244,Approved,Approved,"This application was approved due to YearsEmployed, Employed, Citizen, Age, Ethnicity, PriorDefault."
132,Approved,Approved,"This application was approved due to Income, YearsEmployed, CreditScore, Employed, Debt, Citizen."
249,Approved,Approved,"This application was approved due to Income, CreditScore, Employed, Industry, Debt, Citizen, Ethnicity, Age, Married, PriorDefault."
72,Approved,Denied,"This application was approved due to YearsEmployed, Income, Citizen, Debt, BankCustomer, Ethnicity, Industry."
353,Denied,Denied,"This application was denied due to Employed, YearsEmployed, CreditScore, Citizen, Debt, Age, Married, PriorDefault."
568,Approved,Approved,"This application was approved due to CreditScore, Employed, Citizen, Ethnicity."
640,Denied,Denied,"This application was denied due to Income, ZipCode, Employed, CreditScore, Industry, Age, Ethnicity, PriorDefault."
586,Approved,Approved,"This application was approved due to Income, YearsEmployed, ZipCode, CreditScore, Employed, Industry, Citizen, Debt."
657,Denied,Denied,"This application was denied due to YearsEmployed, Employed, CreditScore, Industry, Debt, BankCustomer, Age, Married."
404,Denied,Denied,"This application was denied due to Employed, CreditScore, Industry, Age, ZipCode, Ethnicity, BankCustomer, PriorDefault, Married."
76,Approved,Denied,"This application was approved due to Income, Citizen, Debt, Ethnicity, PriorDefault, Married, BankCustomer."
478,Denied,Denied,"This application was denied due to Employed, YearsEmployed, CreditScore, Industry, Married, PriorDefault, BankCustomer."
