Gender,Age,Debt,Married,BankCustomer,Industry,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income,Approved,Reason
1,30.83,0.0,1,1,Industrials,White,1.25,1,1,1,0,ByBirth,202,0,1,"This application was approved due to Income, YearsEmployed, Employed, Citizen, Ethnicity, PriorDefault."
0,58.67,4.46,1,1,Materials,Black,3.04,1,1,6,0,ByBirth,43,560,1,"This application was approved due to Income, YearsEmployed, ZipCode, Employed, CreditScore, Industry, Citizen, Debt."
0,24.5,0.5,1,1,Materials,Black,1.5,1,0,0,0,ByBirth,280,824,1,"This application was approved due to Income, YearsEmployed, Industry, Citizen, ZipCode, Age, PriorDefault."
1,27.83,1.54,1,1,Industrials,White,3.75,1,1,5,1,ByBirth,100,3,1,"This application was approved due to YearsEmployed, Employed, CreditScore, Citizen, Ethnicity, Age, Industry."
1,20.17,5.625,1,1,Industrials,White,1.71,1,0,0,0,ByOtherMeans,120,0,1,"This application was approved due to Income, YearsEmployed, Debt, Ethnicity, Age, Industry, PriorDefault."
1,32.08,4.0,1,1,CommunicationServices,White,2.5,1,0,0,1,ByBirth,360,0,1,"This application was denied due to Employed, Industry, CreditScore, Age, PriorDefault, ZipCode."
1,33.17,1.04,1,1,Transport,Black,6.5,1,0,0,1,ByBirth,164,31285,1,"This application was approved due to Income, YearsEmployed, Industry, Citizen."
0,22.92,11.585,1,1,InformationTechnology,White,0.04,1,0,0,0,ByBirth,80,1349,1,"This application was approved due to Income, Citizen, Age, Ethnicity, Debt, Industry, PriorDefault."
1,54.42,0.5,0,0,Financials,Black,3.96,1,0,0,0,ByBirth,180,314,1,"This application was approved due to YearsEmployed, Citizen, PriorDefault."
1,42.5,4.915,0,0,Industrials,White,3.165,1,0,0,1,ByBirth,52,1442,1,"This application was approved due to Income, YearsEmployed, ZipCode, Citizen, Debt, Industry, Ethnicity."
1,22.08,0.83,1,1,Energy,Black,2.165,0,0,0,1,ByBirth,128,0,1,"This application was denied due to Employed, CreditScore, Debt, ZipCode, Ethnicity, Industry, Age."
1,29.92,1.835,1,1,Energy,Black,4.335,1,0,0,0,ByBirth,260,200,1,"This application was approved due to YearsEmployed, Citizen."
0,38.25,6.0,1,1,Financials,White,1.0,1,0,0,1,ByBirth,0,0,1,"This application was approved due to Income, ZipCode, Citizen, Debt, Ethnicity."
1,48.08,6.04,1,1,Financials,White,0.04,0,0,0,0,ByBirth,0,2690,1,"This application was approved due to Income, ZipCode, Citizen, Debt, Ethnicity, PriorDefault."
0,45.83,10.5,1,1,Materials,White,5.0,1,1,7,1,ByBirth,0,0,1,"This application was approved due to Income, YearsEmployed, Employed, ZipCode, CreditScore, Industry, Citizen, Debt, Ethnicity, Age."
1,36.67,4.415,0,0,Financials,White,0.25,1,1,10,1,ByBirth,320,0,1,"This application was approved due to Income, Employed, CreditScore, Debt, Citizen, Ethnicity."
1,28.25,0.875,1,1,CommunicationServices,White,0.96,1,1,3,1,ByBirth,396,0,1,"This application was approved due to Income, Employed, Citizen, Age, Ethnicity, ZipCode."
0,23.25,5.875,1,1,Materials,White,3.17,1,1,10,0,ByBirth,120,245,1,"This application was approved due to YearsEmployed, Employed, CreditScore, Industry, Citizen, Debt, Ethnicity, Age, PriorDefault."
1,21.83,0.25,1,1,Real Estate,Black,0.665,1,0,0,1,ByBirth,0,0,1,"This application was approved due to Income, ZipCode, Industry, Citizen, Age, PriorDefault."
0,19.17,8.585,1,1,InformationTechnology,Black,0.75,1,1,7,0,ByBirth,96,0,1,"This application was approved due to Income, Employed, CreditScore, Citizen, Debt, Age, Industry."
1,25.0,11.25,1,1,Energy,White,2.5,1,1,17,0,ByBirth,200,1208,1,"This application was approved due to Income, YearsEmployed, CreditScore, Employed, Citizen, Debt, Ethnicity, Age, PriorDefault."
1,23.25,1.0,1,1,Energy,White,0.835,1,0,0,0,ByOtherMeans,300,0,1,"This application was denied due to Employed, YearsEmployed, CreditScore, Citizen, Debt, Industry, ZipCode."
0,47.75,8.0,1,1,Energy,White,7.875,1,1,6,1,ByBirth,0,1260,1,"This application was approved due to Income, YearsEmployed, Employed, ZipCode, CreditScore, Citizen, Ethnicity, Debt, PriorDefault."
0,27.42,14.5,1,1,Utilities,Black,3.085,1,1,1,0,ByBirth,120,11,1,"This application was approved due to YearsEmployed, Employed, Industry, Citizen, Debt, Age."
0,41.17,6.5,1,1,Materials,White,0.5,1,1,3,1,ByBirth,145,0,1,"This application was approved due to Income, Employed, Industry, Citizen, Debt, Ethnicity, PriorDefault."
0,15.83,0.585,1,1,Energy,Black,1.5,1,1,2,0,ByBirth,100,0,1,"This application was approved due to Income, YearsEmployed, Employed, Citizen, Age."
0,47.0,13.0,1,1,ConsumerDiscretionary,Asian,5.165,1,1,9,1,ByBirth,0,0,1,"This application was approved due to Income, YearsEmployed, Employed, CreditScore, ZipCode, Citizen, Debt, PriorDefault."
1,56.58,18.5,1,1,Real Estate,Asian,15.0,1,1,17,1,ByBirth,0,0,1,"This application was approved due to Income, YearsEmployed, Employed, CreditScore, ZipCode, Industry, Citizen, Debt, PriorDefault."
